nom.ville	Temperature	Latitude	Longitude
Amsterdam	9.9	52.2	4.5
Ath�nes	17.8	37.6	23.5
Berlin	9.1	52.3	13.2
Bruxelles	10.3	50.5	4.2
Budapest	10.9	47.3	19
Copenhague	7.8	55.4	12.3
Dublin	9.3	53.2	6.1
Helsinki	4.8	60.1	25
Kiev	7.1	50.3	30.3
Cracovie	7.7	50	19.6
Lisbonne	15.9	38.4	9.1
Londres	9.7	51.4	0
Madrid	13.9	40.2	3.4
Minsk	5.5	53.5	27.3
Moscou	5.1	46.2	1.5
Oslo	5.6	59.5	10.5
Paris	11.2	48.5	2.2
Prague	9.2	50	14.2
Reykjavik	4.6	64.1	21.6
Rome	15.4	41.5	12.3
Sarajevo	9.4	43.5	18.3
Sofia	9.6	42.4	23.2
Stockholm	5.8	59.2	18
Anvers	10.3	51.1	4.2
Barcelone	16.2	41.2	2.2
Bordeaux	12.7	44.5	0.3
Edimbourg	8.3	55	3
Francfort	9.8	50.1	8.4
Gen�ve	9.7	46.1	6.1
G�nes	16.1	44.3	9.4
Milan	12.6	45.3	9.2
Palerme	16.6	38.1	13.1
S_ville	18.2	37.2	5.6
St. Petersbourg	4.5	59.6	30.2
